Word,Stem,Suffix
જીવવિજ્ઞાન,જીવવિજ્ઞાન,
ધોરણ,ધોરણ,
ઉઠે,ઉઠ,ે
પ્રતિજ્ઞાપત્ર,પ્રતિજ્ઞાપત્ર,
ભારત,ભારત,
મારો,માર,ો
દેશ,દેશ,
બધાં,બધાં,
ભારતીયો,ભારતીય,ો
મારા,મારા,
ભાઈબહેન,ભાઈબહેન,
મારા,મારા,
દેશને,દેશ,ને
ચાહું,ચાહું,
છું,છું,
તેના,તે,ના
સમૃદ્ધ,સમૃદ્ધ,
વૈવિધ્યપૂર્ણ,વૈવિધ્યપૂર્ણ,
વારસાનો,વારસાન,ો
મને,મ,ને
ગર્વ,ગર્વ,
સદાય,સદાય,
તેને,તે,ને
લાયક,લાયક,
બનવા,બનવા,
પ્રયત્ત,પ્રયત્ત,
કરીશ,કરીશ,
મારાં,મારાં,
"માતાપિતા,","માતાપિતા,",
શિક્ષકો,શિક્ષક,ો
વડીલો,વડીલ,ો
પ્રત્યે,પ્રત્ય,ે
આદર,આદર,
રાખીશ,રાખીશ,
અન્તે,અન્ત,ે
દરેક,દરેક,
જણ,જણ,
સાથે,સાથ,ે
સભ્યતાથી,સભ્યતા,થી
વર્તશ,વર્તશ,
મારા,મારા,
દેશ,દેશ,
અનને,અન,ને
દેશબાંધવોને,દેશબાંધવો,ને
મારી,મારી,
નિષ્ઠા,નિષ્ઠા,
અર્પુ,અર્પુ,
છું,છું,
ઈ,ઈ,
ગ,ગ,
કલ્યાણ,કલ્યાણ,
અનને,અન,ને
સમૃદ્ધિમાં,સમૃદ્ધિ,માં
મારું,મારું,
સુખ,સુખ,
રહ્યું,રહ્યું,
વ્નકનરળ,વ્નકનરળ,
પક,પક,
રાષ્ટ્રીય,રાષ્ટ્રીય,
રૉલ્ષિય?,રૉલ્ષિય?,
ડાનુસંઘાન,ડાનુસંઘાન,
ગ્ર,ગ્ર,
પ્રરિક્ષળ,પ્રરિક્ષળ,
પરિષટ્,પરિષટ્,
ગુજરાત,ગુજરાત,
રાજય,રાજય,
શાળા,શાળા,
પાઠયપુસ્તક,પાઠયપુસ્તક,
મંડળ,મંડળ,
વિદ્યાયન',વિદ્યાયન',
સેક્ટર,સેક્ટર,
ગાંધીનગર-,ગાંધીનગર-,
અનુવાદ,અનુવાદ,
ડૉ,ડૉ,
આચાર્ય,આચાર્ય,
શ્રી,શ્રી,
નીતિન,નીતિન,
ડી,ડી,
દવે,દવ,ે
શ્રી,શ્રી,
મેહુલ,મેહુલ,
એસ,એસ,
પટેલ,પટેલ,
સમીક્ષા,સમીક્ષા,
ડૉ,ડૉ,
મોદી,મોદી,
શ્રી,શ્રી,
જયસુખભાઈ,જયસુખભાઈ,
બી,બી,
હરમાણી,હરમાણી,
શ્રી,શ્રી,
પરેશ,પરેશ,
એમ,એમ,
પરીખ,પરીખ,
શ્રીમતી,શ્રીમતી,
ભાર્ગવી,ભાર્ગવી,
જી,જી,
વાનખેડે,વાનખેડ,ે
શ્રીનિમેષ,શ્રીનિમેષ,
દરજી,દરજી,
શ્રીપ્રશાંત,શ્રીપ્રશાંત,
જી,જી,
પંચલ,પંચલ,
ભાષાશુદ્ધિ,ભાષાશુદ્ધિ,
શ્રી,શ્રી,
નીતિન,નીતિન,
બી,બી,
આચાર્ય,આચાર્ય,
અનુવાદ-પરામર્શન,અનુવાદ-પરામર્શન,
(સંવર્ધિત,(સંવર્ધિત,
આવૃત્તિ),આવૃત્તિ),
ડૉ,ડૉ,
આચાર્ય,આચાર્ય,
શ્રી,શ્રી,
નીતિન,નીતિન,
ડી,ડી,
દવે,દવ,ે
શ્રી,શ્રી,
જયસુખભાઈ,જયસુખભાઈ,
બી,બી,
હરમાણી,હરમાણી,
શ્રી,શ્રી,
અવિનાશ,અવિનાશ,
ભટ્ટ,ભટ્ટ,
સંયોજન,સંયોજન,
ડૉ,ડૉ,
પટેલ,પટેલ,
(વિષય-સંયોજક,(વિષય-સંયોજક,
ભૌતિકવિજ્ઞાન),ભૌતિકવિજ્ઞાન),
નિર્માણ-સંયોજન,નિર્માણ-સંયોજન,
ડૉ,ડૉ,
પરમાર,પરમાર,
(નાયબ,(નાયબ,
નિયામક,નિયામક,
શૈક્ષણિક),શૈક્ષણિક),
મુદ્રણ-આયોજન,મુદ્રણ-આયોજન,
શ્રી,શ્રી,
મનીષ,મનીષ,
એચ,એચ,
બધેકા,બધેકા,
(નાયબ,(નાયબ,
નિયામક,નિયામક,
ઉત્પાદન),ઉત્પાદન),
વિતરણ-આયોજન,વિતરણ-આયોજન,
શ્રી,શ્રી,
હર્ષદ,હર્ષદ,
એચ,એચ,
ચૌધરી,ચૌધરી,
(નાયબ,(નાયબ,
નિયામક,નિયામક,
વહીવટ,વહીવટ,
વિતરણ),વિતરણ),
પ્રસ્તાવના,પ્રસ્તાવ,ના
રાષ્ટ્રીય,રાષ્ટ્રીય,
સ્તરે,સ્તર,ે
સમાન,સમાન,
અભ્યાસક્રમ,અભ્યાસક્રમ,
રાખવાની,રાખવા,ની
સરકારશ્રીની,સરકારશ્રી,ની
નીતિના,નીતિ,ના
અનુસંધાને,અનુસંધા,ને
ગુજરાત,ગુજરાત,
સરકાર,સરકાર,
તથા,તથા,
ગુજરાત,ગુજરાત,
માધ્યમિક,માધ્યમિક,
ઉચ્ચતર,ઉચ્ચતર,
માધ્યમિક,માધ્યમિક,
શિક્ષણ,શિક્ષણ,
બોર્ડ,બોર્ડ,
તા,તા,
ઠરાવ,ઠરાવ,
ક્રમાંક,ક્રમાંક,
શાળા,શાળા,
કક્ષાએ,કક્ષાએ,
પારના,પાર,ના
પાઠ્યપુસ્તકોનો,પાઠ્યપુસ્તકોન,ો
સીધો,સીધ,ો
અમલ,અમલ,
કરવાનો,કરવાન,ો
નિર્ણય,નિર્ણય,
કરવામાં,કરવા,માં
આવ્યો,આવ્ય,ો
તેને,તે,ને
અનુલક્ષીને,અનુલક્ષી,ને
નવી,નવી,
દિલ્હી,દિલ્હી,
દારા,દારા,
પ્રકાશિત,પ્રકાશિત,
ધોરણ,ધોરણ,
પના,પ,ના
જીવવિજ્ઞાન,જીવવિજ્ઞાન,
વિષયના,વિષય,ના
પાઠ્યપુસ્તકનો,પાઠ્યપુસ્તકન,ો
ગુજરાતીમાં,ગુજરાતી,માં
અનુવાદ,અનુવાદ,
કરીને,કરી,ને
વર્ષ,વર્ષ,
અમલ,અમલ,
કરવામાં,કરવા,માં
